id,year,Hispanic,Female,Grades,tobacco,alcohol,mj,sibsmoke,sibdrink,adultdrink,year_value,present,school,has_sib,exposure_smoke,exposure_drink,exposure_mj
43,1,1,1,3.5,0,1,0,0,0,0,2010,1,111,1,-1,-1,-1
43,2,1,1,3.5,0,1,0,0,0,0,2011,1,111,1,0,0.5,0
43,4,1,1,3.5,0,1,1,0,0,0,2013,1,111,1,0,0,0
44,1,0,0,4,0,0,0,0,0,1,2010,1,111,1,-1,-1,-1
44,2,0,0,4.5,0,0,0,0,0,0,2011,1,111,1,0,1,0
44,3,0,0,4.5,0,1,0,0,0,1,2012,1,111,1,0.5,0.5,0.5
44,4,0,0,4,0,1,0,0,1,1,2013,1,111,1,0.428571428571429,0.571428571428571,0.714285714285714
45,1,0,0,5,0,0,0,0,0,0,2010,1,111,1,-1,-1,-1
45,2,0,0,4.5,0,0,0,0,0,0,2011,1,111,1,0,0,0
45,4,0,0,4.5,0,0,0,0,0,1,2013,1,111,1,0,0,0
46,1,0,1,5,0,0,0,0,0,1,2010,1,111,1,-1,-1,-1
46,2,0,1,4.5,0,0,0,0,0,1,2011,1,111,1,0,0,0
46,4,0,1,4,0,1,0,0,0,1,2013,1,111,1,0,0,0
48,3,1,1,4.5,0,0,0,0,0,0,2012,1,111,1,0,0,0
48,4,1,1,4.5,0,0,0,0,0,0,2013,1,111,1,0.363636363636364,0.727272727272727,0.454545454545455
49,3,1,1,3.5,0,1,1,0,0,1,2012,1,111,1,0,0,0
49,4,1,1,4.5,0,1,1,1,1,1,2013,1,111,1,0.333333333333333,0.777777777777778,0.444444444444444
51,1,0,0,4.5,0,0,0,0,0,1,2010,1,111,1,-1,-1,-1
51,2,0,0,4.5,0,0,0,1,0,0,2011,1,111,1,0,0.333333333333333,0.166666666666667
51,3,0,0,4.5,0,1,0,0,1,1,2012,1,111,1,0,0.333333333333333,0.333333333333333
52,1,0,0,3,0,0,0,0,0,0,2010,1,111,1,-1,-1,-1
52,2,0,0,2.5,0,0,0,0,0,0,2011,1,111,1,0,0.142857142857143,0.0714285714285714
52,3,0,0,3,0,0,0,0,0,0,2012,1,111,1,0,0,0.2
